chromosome	mean_coverage
1	48.769165206208314
10	48.20914443862789
11	42.09147735871265
12	41.50501989100191
13	44.82536381380296
14	42.62868435410402
15	40.67676381154122
16	64.69055835231977
17	51.50230051358709
18	44.9304257070618
19	40.92905951377178
2	50.41416186910036
20	55.521666593493435
21	96.62554271326897
22	39.399279536923736
3	46.948583679872804
4	48.88078652003053
5	43.63370808902079
6	45.325102360107856
7	44.79449918578013
8	42.90947962686131
9	48.6049862916926
MT	2257.090909090909
X	42.18880341327817
Y	121.63689179375454
